,countries,cost_living_inde,2021
0,switzerland,132.0,11.0
1,norway,106.0,8.0
2,iceland,97.0,6.0
3,denmark,92.0,10.0
4,luxembourg,88.0,9.0
5,japan,88.0,9.0
6,israel,87.0,19.0
7,bahamas,86.0,6.0
8,singapore,86.0,14.0
9,australia,84.0,6.0
10,ireland,83.0,8.0
11,south korea,81.0,19.0
12,france,81.0,11.0
13,sweden,79.0,7.0
14,new zealand,79.0,7.0
15,netherlands,79.0,11.0
16,belgium,79.0,12.0
17,finland,78.0,6.0
18,lebanon,76.0,26.0
19,austria,76.0,11.0
20,malta,74.0,14.0
21,italy,73.0,15.0
22,united kingdom,71.0,9.0
23,germany,71.0,11.0
24,canada,70.0,9.0
25,puerto rico,70.0,5.0
26,taiwan,65.0,16.0
27,qatar,64.0,38.0
28,cyprus,64.0,15.0
29,united arab emirates,62.0,36.0
30,greece,61.0,19.0
31,slovenia,59.0,13.0
32,spain,59.0,11.0
33,bahrain,58.0,50.0
34,estonia,57.0,6.0
35,croatia,56.0,25.0
36,trinidad and tobago,56.0,7.0
37,ethiopia,54.0,24.0
38,portugal,53.0,7.0
39,jordan,52.0,17.0
40,uruguay,51.0,14.0
41,costa rica,51.0,8.0
42,oman,50.0,54.0
43,saudi arabia,50.0,33.0
44,kuwait,49.0,30.0
45,chile,49.0,22.0
46,thailand,49.0,20.0
47,czech republic,49.0,14.0
48,slovakia,49.0,16.0
49,cambodia,48.0,20.0
50,lithuania,48.0,13.0
51,guatemala,45.0,20.0
52,hungary,43.0,16.0
53,china,43.0,33.0
54,honduras,42.0,12.0
55,poland,42.0,19.0
56,south africa,42.0,23.0
57,montenegro,41.0,35.0
58,iran,41.0,30.0
59,bulgaria,41.0,16.0
60,philippines,41.0,16.0
61,ghana,41.0,26.0
62,albania,40.0,13.0
63,ecuador,40.0,8.0
64,malaysia,40.0,19.0
65,serbia,39.0,26.0
66,romania,39.0,15.0
67,myanmar,38.0,26.0
68,vietnam,38.0,25.0
69,argentina,38.0,8.0
70,indonesia,37.0,34.0
71,kenya,36.0,14.0
72,peru,36.0,30.0
73,mexico,35.0,19.0
74,north macedonia,34.0,25.0
75,bangladesh,33.0,77.0
76,mongolia,33.0,33.0
77,russia,33.0,12.0
78,iraq,33.0,50.0
79,uganda,32.0,28.0
80,brazil,32.0,14.0
81,armenia,32.0,34.0
82,turkey,32.0,20.0
83,sri lanka,31.0,17.0
84,colombia,31.0,14.0
85,azerbaijan,31.0,18.0
86,egypt,30.0,29.0
87,kazakhstan,30.0,31.0
88,nigeria,30.0,34.0
89,ukraine,29.0,19.0
90,syria,29.0,23.0
91,nepal,29.0,46.0
92,algeria,28.0,20.0
93,georgia,28.0,21.0
94,uzbekistan,27.0,43.0
95,afghanistan,26.0,38.0
96,india,25.0,58.0
97,kyrgyzstan,23.0,51.0
98,pakistan,22.0,67.0
